                                              radext_fao56: EXTRA TERRESTRIAL RADIATION (W/m2)

         DAY   90S  80S   70S   60S   50S   40S   30S   20S   10S   EQ    10N   20N   30N   40N   50N   60N    70N    80N    90N

(144)	145  -999.9 -999.9 -999.9  37.1  99.0 165.9 232.0 294.0 349.1 395.6 431.7 456.7 469.9 471.7 463.4 449.1 447.0 468.2   0.7
(145)	146  -999.9 -999.9 -999.9  36.0  97.7 164.5 230.7 292.8 348.2 394.9 431.5 456.8 470.4 472.7 464.9 451.2 450.5 471.8   0.7
(146)	147  -999.9 -999.9 -999.9  35.0  96.4 163.2 229.5 291.7 347.3 394.4 431.2 456.9 471.0 473.6 466.4 453.3 453.8 475.3   0.7
(147)	148  -999.9 -999.9 -999.9  34.0  95.2 161.9 228.3 290.7 346.5 393.8 431.0 457.0 471.4 474.5 467.7 455.2 457.0 478.6   0.7
(148)	149  -999.9 -999.9 -999.9  33.1  94.0 160.7 227.1 289.6 345.7 393.2 430.7 457.1 471.9 475.4 469.1 457.1 460.1 481.8   0.7
(149)	150  -999.9 -999.9 -999.9  32.2  92.9 159.5 226.0 288.6 344.9 392.7 430.5 457.2 472.4 476.2 470.3 458.9 463.0 484.9   0.7
(150)	151  -999.9 -999.9 -999.9  31.3  91.8 158.4 224.9 287.7 344.1 392.2 430.2 457.3 472.8 477.0 471.6 460.7 465.8 487.8   0.7
(151)	152  -999.9 -999.9 -999.9  30.5  90.7 157.3 223.9 286.8 343.4 391.7 430.0 457.3 473.2 477.8 472.7 462.3 468.5 490.6   0.7
(152)	153  -999.9 -999.9 -999.9  29.8  89.8 156.3 222.9 285.9 342.7 391.2 429.8 457.4 473.5 478.5 473.8 463.9 471.0 493.3   0.7
(153)	154  -999.9 -999.9 -999.9  29.0  88.9 155.3 221.9 285.1 342.0 390.7 429.5 457.4 473.9 479.2 474.9 465.4 473.4 495.8   0.7
(154)	155  -999.9 -999.9 -999.9  28.4  88.0 154.4 221.1 284.3 341.4 390.3 429.3 457.5 474.2 479.8 475.8 466.9 475.7 498.2   0.7
(155)	156  -999.9 -999.9 -999.9  27.7  87.2 153.5 220.2 283.6 340.8 389.9 429.1 457.5 474.5 480.4 476.8 468.2 477.8 500.5   0.7
(156)	157  -999.9 -999.9 -999.9  27.2  86.4 152.7 219.4 282.9 340.2 389.5 428.9 457.5 474.8 481.0 477.6 469.5 479.8 502.6   0.7
(157)	158  -999.9 -999.9 -999.9  26.6  85.7 151.9 218.7 282.2 339.7 389.1 428.7 457.6 475.1 481.5 478.4 470.6 481.7 504.5   0.7
(158)	159  -999.9 -999.9 -999.9  26.1  85.0 151.2 218.0 281.6 339.2 388.7 428.6 457.6 475.3 482.0 479.2 471.7 483.5 506.4   0.7
